fsym,tsym,time,open,high,low,close,volumefrom,volumeto,fsym,tsym,max_close,max_high
NGC,ETH,"2017-12-30 00:00:00",0.05502,0.0645,0.04553,0.00508,595703.8,3140,NGC,ETH,0.00508,0.07001
NGC,USD,"2017-12-30 00:00:00",3.48,4.28,3.06,3.8,260352,998950.27,NGC,USD,3.8,4.28
NLG,USD,"2017-12-30 00:00:00",0.2551,0.287,0.2359,0.2589,4494598.85,1163651.64,NLG,USD,0.2589,0.2878
NULS,BTC,"2017-12-30 00:00:00",0.0001779,0.000181,0.000158,0.000163,553511.15,93.17,NULS,BTC,0.0001779,0.000181
NULS,ETH,"2017-12-30 00:00:00",0.05769,0.0587,0.05124,0.00307,553511.15,1706.8,NULS,ETH,0.003228,0.06519
NULS,USD,"2017-12-30 00:00:00",2.47,2.52,2.2,2.29,553511.15,1262005.42,NULS,USD,2.29,2.56
NXC,USD,"2017-12-30 00:00:00",0.5201,0.5261,0.4848,0.5057,1029052.01,512056.28,NXC,USD,0.5057,0.5261
NYC,BTC,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,221407382.72,2.21,NYC,BTC,0.00000001,0.00000001
OMG,USD,"2017-12-30 00:00:00",16.48,21.99,15.21,19.16,2989930.34,56019075.86,OMG,USD,19.16,21.99
OMNI,USD,"2017-12-30 00:00:00",106.39,121.32,97.14,96.19,28729.97,2827603.65,OMNI,USD,96.19,121.32
ONION,ETH,"2017-12-30 00:00:00",0.05312,0.05312,0.05312,0.01129,0,0,ONION,ETH,0.0113,0.3153
ONION,USD,"2017-12-30 00:00:00",8.35,8.35,8.35,8.39,0,0,ONION,USD,8.39,8.35
PAC,BTC,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,101544536.31,1.02,PAC,BTC,0.00000001,0.001714
PAC,USD,"2017-12-30 00:00:00",0.00000781,0.000012,0.00000752,0.0000123,7664526108.76,73733.76,PAC,USD,0.0000123,0.00001477
PAK,USD,"2017-12-30 00:00:00",0.01557,0.01759,0.01557,0.01829,6322.6,102.19,PAK,USD,0.01829,0.01969
PASC,USD,"2017-12-30 00:00:00",2.82,3.23,2.5,2.78,231536.04,650616.27,PASC,USD,2.9,375375
PASL,USD,"2017-12-30 00:00:00",0.2515,0.2515,0.2515,0.2528,0,0,PASL,USD,0.2528,0.3066
PBL,BTC,"2017-12-30 00:00:00",0.00006374,0.00007107,0.00003293,0.00006376,41943.67,2.67,PBL,BTC,0.00006614,357828.66
PBL,ETH,"2017-12-30 00:00:00",0.0012,0.001338,0.00062,0.0012,41943.67,41.29,PBL,ETH,0.0012,6222025
PBL,USD,"2017-12-30 00:00:00",0.8896,0.9919,0.4596,0.8909,41943.67,37313.09,PBL,USD,0.8909,2927027220.75
PDC,USD,"2017-12-30 00:00:00",0.198,0.2156,0.1948,0.206,715774.3,146089.53,PDC,USD,0.2141,0.3358
PFR,BTC,"2017-12-30 00:00:00",0.4781,262.41,0.00000239,0.00000282,1178112.4,3.28,PFR,BTC,0.00000284,7013.65
PFR,ETH,"2017-12-30 00:00:00",9,4940,0.000045,0.000053,1178112.4,63.24,PFR,ETH,0.000057,145000
PFR,USD,"2017-12-30 00:00:00",6671.7,3662022,0.03336,0.03934,1178112.4,45675.42,PFR,USD,0.04085,115879650
PHR,BTC,"2017-12-30 00:00:00",0.0003799,0.0003799,0.0001013,0.0003452,600,0.00015,PHR,BTC,0.0003799,0.0004495
PINK,USD,"2017-12-30 00:00:00",0.05495,0.06079,0.05231,0.05612,8583650.83,471671.61,PINK,USD,0.05755,0.06555
PIRL,BTC,"2017-12-30 00:00:00",0.00009832,0.00009832,0.00009832,0.00009832,0,0,PIRL,BTC,0.0001067,0.00015
PIX,USD,"2017-12-30 00:00:00",0.09933,0.1483,0.09044,0.1233,554721,68286.16,PIX,USD,0.1233,620.33
PLU,USD,"2017-12-30 00:00:00",18.87,19.15,18.35,19.18,183.09,3506.17,PLU,USD,20.35,32.41
PND,ETH,"2017-12-30 00:00:00",0.00000013,0.00000019,0.00000012,0.00000016,1469239.33,0.1827,PND,ETH,0.00000016,0.00000019
POE,USD,"2017-12-30 00:00:00",0.1083,0.143,0.08896,0.09879,134400148.64,13735695.19,POE,USD,0.1027,358979965.45
POP,ETH,"2017-12-30 00:00:00",0.0000003,0.0000003,0.0000003,0.0000003,0,0,POP,ETH,0.0000003,0.0000003
POP,USD,"2017-12-30 00:00:00",0.1818,0.1818,0.1818,0.1818,0,0,POP,USD,0.1818,0.1818
POSW,USD,"2017-12-30 00:00:00",0.4567,0.5926,0.45,0.5913,46203.89,26886.04,POSW,USD,0.5913,0.5926
PPP,BTC,"2017-12-30 00:00:00",0.0001301,0.0004898,0.0001169,0.0001307,120399.93,15.8,PPP,BTC,0.000137,57229394296850.6
PPT,BTC,"2017-12-30 00:00:00",0.002898,0.003181,0.002755,0.003,21505.69,63.46,PPT,BTC,0.003113,0.003294
PRIX,BTC,"2017-12-30 00:00:00",0.0003878,0.0004409,0.0003187,0.0003977,6666.66,2.65,PRIX,BTC,0.0004024,62.93
PRIX,USD,"2017-12-30 00:00:00",5.41,6.15,4.45,5.56,6666.66,37066.63,PRIX,USD,5.56,730745.45
PRO,ETH,"2017-12-30 00:00:00",0.05036,0.05351,0.04789,0.002797,284219.24,792.95,PRO,ETH,0.003034,6.59
PRO,USD,"2017-12-30 00:00:00",1.95,2.08,1.86,2.08,284219.24,585491.63,PRO,USD,2.08,78.16
PTC,USD,"2017-12-30 00:00:00",0.09724,0.1113,0.09627,0.1031,2111173.9,216817.56,PTC,USD,0.1091,0.1113
PWR,ETH,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,10000000,0.1,PWR,ETH,0.00000001,0.00000001
PWR,USD,"2017-12-30 00:00:00",0.00000289,0.0000034,0.00000212,0.00000339,849184982.69,2360.02,PWR,USD,0.00000339,0.000004
PXC,USD,"2017-12-30 00:00:00",0.01739,0.01739,0.01739,0.01748,0,0,PXC,USD,0.01773,0.02346
QRL,USD,"2017-12-30 00:00:00",2.14,2.61,1.95,2.49,1155282.42,2738019.34,QRL,USD,2.49,2900.25
QSP,BTC,"2017-12-30 00:00:00",0.00002076,0.00002887,0.0000202,0.00002507,78828655.3,1938.37,QSP,BTC,0.00002507,0.00002887
QSP,USD,"2017-12-30 00:00:00",0.2821,0.3913,0.2724,0.3503,23052037.12,7863049.86,QSP,USD,0.3503,380840
QTUM,ETH,"2017-12-30 00:00:00",0.05188,0.05374,0.05012,0.07274,1245048.57,91737.95,QTUM,ETH,0.07606,7.85
R,ETH,"2017-12-30 00:00:00",0.04652,0.05312,0.04648,0.001199,1717.69,2.21,R,ETH,0.001199,1.61
R,USD,"2017-12-30 00:00:00",0.8319,0.95,0.8313,0.8896,1717.69,1631.81,R,USD,0.8896,11.55
RADS,USD,"2017-12-30 00:00:00",13.89,13.98,12.83,13.38,96307.58,1262592.37,RADS,USD,14.48,15.83
RCN,BTC,"2017-12-30 00:00:00",0.00002803,0.00002993,0.00002645,0.00002715,42414827.61,1180.12,RCN,BTC,0.0000293,0.00003454
RCN,USD,"2017-12-30 00:00:00",0.3899,0.4164,0.368,0.3799,42414827.61,16054012.25,RCN,USD,0.4217,0.4971
REQ,BTC,"2017-12-30 00:00:00",0.00003132,0.00004,0.00002802,0.0000422,28720182.31,995.51,REQ,BTC,0.0000422,0.00004
REQ,ETH,"2017-12-30 00:00:00",0.0005688,0.000749,0.00053,0.0007895,20956796.89,13411.89,REQ,ETH,0.0007895,669074.97
REQ,USD,"2017-12-30 00:00:00",0.4217,0.5552,0.3929,0.5865,20956796.89,11616352.52,REQ,USD,0.5865,205272200.8
RLC,USD,"2017-12-30 00:00:00",1.22,1.39,1.22,1.39,1176722.21,1635643.87,RLC,USD,1.39,1372.9
RNS,USD,"2017-12-30 00:00:00",0.09961,0.09961,0.09961,0.1052,0,0,RNS,USD,0.1052,0.1341
RPX,BTC,"2017-12-30 00:00:00",0.00001985,0.0000278,0.0000195,0.00002779,4151305.67,101.09,RPX,BTC,0.00002779,0.0000278
RPX,ETH,"2017-12-30 00:00:00",0.03807,0.05331,0.03739,0.0005232,4151305.67,2164.74,RPX,ETH,0.0005232,0.0589
RPX,USD,"2017-12-30 00:00:00",0.2761,0.3867,0.2713,0.3889,4151305.67,1599498.07,RPX,USD,0.3889,0.3867
RVT,USD,"2017-12-30 00:00:00",1.19,1.24,0.4522,1.09,61628.72,67175.3,RVT,USD,1.18,1385660
SC,USD,"2017-12-30 00:00:00",0.03102,0.03227,0.02963,0.03048,732392732.94,22316006.57,SC,USD,0.03351,0.03823
SCT,BTC,"2017-12-30 00:00:00",0.00001753,0.00004515,0.00001301,0.00001753,21866.86,0.3715,SCT,BTC,0.00001819,610.16
SCT,ETH,"2017-12-30 00:00:00",0.00033,0.00085,0.000245,0.00033,21866.86,6.73,SCT,ETH,0.00033,11700
SCT,USD,"2017-12-30 00:00:00",0.2446,0.6301,0.1816,0.245,21866.86,5184.63,SCT,USD,0.245,8460738
SDAO,BTC,"2017-12-30 00:00:00",0.00002125,0.0005153,0.00002125,0.0005156,49.99,0.02576,SDAO,BTC,0.0005156,0.0005402
SEND,BTC,"2017-12-30 00:00:00",0.00001693,0.00001693,0.00001693,0.00001693,0,0,SEND,BTC,0.00001693,0.0000345
SEND,ETH,"2017-12-30 00:00:00",0.05312,0.05312,0.05312,0.0003192,0,0,SEND,ETH,0.0003192,0.1123
SEND,USD,"2017-12-30 00:00:00",0.2355,0.2355,0.2355,0.2369,0,0,SEND,USD,0.2369,0.4323
SEQ,ETH,"2017-12-30 00:00:00",0.04672,0.05405,0.04646,0.00066,597919.58,385.86,SEQ,ETH,0.00066,0.1998
SEQ,USD,"2017-12-30 00:00:00",0.4194,0.4852,0.4171,0.4909,597919.58,285147.85,SEQ,USD,0.4909,0.4852
SHIFT,ETH,"2017-12-30 00:00:00",0.04189,0.05538,0.04039,0.01485,641448.42,10323.31,SHIFT,ETH,0.01485,0.1701
SHIFT,USD,"2017-12-30 00:00:00",9.38,12.4,9.04,11.05,641448.42,7626821.71,SHIFT,USD,11.05,12.79
SKY,BTC,"2017-12-30 00:00:00",0.003521,0.003521,0.003521,0.003521,0,0,SKY,BTC,0.003521,0.004
SKY,ETH,"2017-12-30 00:00:00",0.05312,0.05312,0.05312,0.0663,0,0,SKY,ETH,0.0663,0.2052
SKY,USD,"2017-12-30 00:00:00",48.98,48.98,48.98,49.24,0,0,SKY,USD,49.24,50.37
SLR,USD,"2017-12-30 00:00:00",0.7377,0.752,0.6405,0.6748,1076627.66,720586.89,SLR,USD,0.7121,0.8657
SMC,USD,"2017-12-30 00:00:00",0.06483,0.09042,0.06483,0.07461,2366.33,181.05,SMC,USD,0.07461,1.11
SNRG,USD,"2017-12-30 00:00:00",3.48,4.39,3.12,3.72,209623.13,773509.35,SNRG,USD,3.72,5.83
SNT,USD,"2017-12-30 00:00:00",0.1738,0.2091,0.1669,0.2062,130271415.39,26379961.62,SNT,USD,0.2062,0.5184
SPANK,BTC,"2017-12-30 00:00:00",0.00001104,0.00001381,0.00001052,0.00001157,857130.21,9.92,SPANK,BTC,0.00001157,3592.5
SPANK,ETH,"2017-12-30 00:00:00",0.0002079,0.00026,0.000198,0.0002179,857130.21,187.12,SPANK,ETH,0.0002179,75000
SPANK,USD,"2017-12-30 00:00:00",0.1541,0.1927,0.1468,0.1618,857130.21,138426.53,SPANK,USD,0.1618,55495500
SPN,ETH,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,0,0,SPN,ETH,0.00000001,0.00000001
SRN,BTC,"2017-12-30 00:00:00",0.0000657,0.00009,0.00006535,0.0000755,765518.39,59.83,SRN,BTC,0.0000755,0.000129
SRN,ETH,"2017-12-30 00:00:00",0.04686,0.0642,0.04661,0.001423,765518.39,1073.2,SRN,ETH,0.001423,0.1099
SRN,USD,"2017-12-30 00:00:00",0.914,1.25,0.9091,1.06,765518.39,796139.13,SRN,USD,1.06,1.75
START,USD,"2017-12-30 00:00:00",0.211,0.2295,0.1966,0.2114,1090642.52,222927.33,START,USD,0.229,0.2828
STORJ,USD,"2017-12-30 00:00:00",2.49,2.98,2.28,2.42,20803994.85,50345667.54,STORJ,USD,2.42,2.98
STORM,BTC,"2017-12-30 00:00:00",0.0000034,0.0000056,0.0000034,0.0000045,65859650,310.17,STORM,BTC,0.0000045,0.0000056
STORM,ETH,"2017-12-30 00:00:00",0.04515,0.07437,0.04515,0.00008468,65859650,4959.31,STORM,ETH,0.00008468,0.07814
STORM,USD,"2017-12-30 00:00:00",0.0473,0.0779,0.0473,0.06295,65859650,3665089.52,STORM,USD,0.06295,0.0779
SUB,BTC,"2017-12-30 00:00:00",0.00007884,0.00008537,0.00007828,0.00007953,4085892.48,333.73,SUB,BTC,0.00007953,0.000112
SUB,ETH,"2017-12-30 00:00:00",0.0523,0.05663,0.05193,0.001497,4085892.48,6159.61,SUB,ETH,0.001554,3.12
SUB,USD,"2017-12-30 00:00:00",1.03,1.15,0.912,1.13,32847.4,32833.21,SUB,USD,1.2,10
SXC,BTC,"2017-12-30 00:00:00",0.00000839,0.00001733,0.00000396,0.00001497,130849.22,1.07,SXC,BTC,0.00001497,0.00002085
SXC,USD,"2017-12-30 00:00:00",0.1167,0.2411,0.05509,0.2093,130849.22,16460.83,SXC,USD,0.2093,0.2411
THC,BTC,"2017-12-30 00:00:00",0.00003565,0.00004989,0.00003514,0.00004149,28390848.3,1230.55,THC,BTC,0.00004149,0.00004989
THC,ETH,"2017-12-30 00:00:00",0.04645,0.065,0.04578,0.0007812,28390848.3,21790.19,THC,ETH,0.0007812,0.3003
THC,USD,"2017-12-30 00:00:00",0.4959,0.694,0.4888,0.5816,28390848.3,16103289.16,THC,USD,0.5816,0.694
TIX,BTC,"2017-12-30 00:00:00",0.00008542,0.000097,0.00007695,0.0000821,2002365.96,166.08,TIX,BTC,0.00008792,0.0001167
TKS,USD,"2017-12-30 00:00:00",5.23,10.09,5.23,7.13,459709.98,3323703.16,TKS,USD,7.13,10.09
TRI,USD,"2017-12-30 00:00:00",18.07,18.07,18.07,18.16,0,0,TRI,USD,18.16,21.59
TRIG,BTC,"2017-12-30 00:00:00",0.00042,0.00057,0.0004067,0.0005498,1313271.52,621.41,TRIG,BTC,0.000568,0.00066
TRIG,ETH,"2017-12-30 00:00:00",0.03942,0.0535,0.03818,0.01037,1313271.52,13990.59,TRIG,ETH,0.01037,0.3054
TRIG,USD,"2017-12-30 00:00:00",5.84,7.93,5.66,7.7,1313271.52,10335446.86,TRIG,USD,7.7,7.93
TRST,USD,"2017-12-30 00:00:00",0.7306,0.7626,0.6389,0.6755,2333440.41,1578805.78,TRST,USD,0.6755,0.7626
TRUST,USD,"2017-12-30 00:00:00",0.2391,0.2588,0.2304,0.2424,744890.2,179816.49,TRUST,USD,0.2656,0.3036
TRX,USD,"2017-12-30 00:00:00",0.03752,0.04506,0.03376,0.04393,12121331.63,493081.52,TRX,USD,0.04829,0.06969
TZC,BTC,"2017-12-30 00:00:00",0.00000924,0.00000924,0.00000924,0.00000924,0,0,TZC,BTC,0.00000924,0.0000123
TZC,USD,"2017-12-30 00:00:00",0.1285,0.1285,0.1285,0.1295,0,0,TZC,USD,0.1295,0.1487
UBQ,ETH,"2017-12-30 00:00:00",0.0512,0.0546,0.04875,0.008341,498524.94,4042.07,UBQ,ETH,0.008974,0.1661
UBQ,USD,"2017-12-30 00:00:00",5.77,6.16,5.5,6.19,498524.94,2986164.39,UBQ,USD,6.19,6.3
UFR,BTC,"2017-12-30 00:00:00",0.00002576,0.00003878,0.00000611,0.00003082,106964.56,3.3,UFR,BTC,0.00003082,386.6
UFR,ETH,"2017-12-30 00:00:00",0.000485,0.00073,0.000115,0.00058,106964.56,57.27,UFR,ETH,0.00058,10000
UFR,USD,"2017-12-30 00:00:00",0.3595,0.5411,0.08525,0.4308,106964.56,45994.76,UFR,USD,0.4308,6842700
UNIFY,USD,"2017-12-30 00:00:00",0.1277,0.1771,0.102,0.1553,27825.46,4927.89,UNIFY,USD,0.1553,5.73
UNIT,USD,"2017-12-30 00:00:00",1.1,1.66,1.05,1.54,4280.04,5949.26,UNIT,USD,1.7,233.78
VEE,BTC,"2017-12-30 00:00:00",0.00000425,0.00004839,0.00000419,0.00000631,2416245.83,14.26,VEE,BTC,0.00000631,3320201.26
VEE,ETH,"2017-12-30 00:00:00",0.00008,0.000911,0.00007889,0.0001187,2416245.83,251.88,VEE,ETH,0.0001187,65000024.72
VEE,USD,"2017-12-30 00:00:00",0.0593,0.6753,0.05848,0.08818,2416245.83,199002.01,VEE,USD,0.08818,48074018282.91
VEN,USD,"2017-12-30 00:00:00",2.06,2.55,1.92,2.31,28453.7,61894.26,VEN,USD,2.31,5
VIA,USD,"2017-12-30 00:00:00",4.58,5.18,4.2,4.82,845574.61,4050302.38,VIA,USD,4.82,5.18
VRM,USD,"2017-12-30 00:00:00",6,8.01,6,7.34,91044.99,646419.43,VRM,USD,7.34,8.12
WABI,BTC,"2017-12-30 00:00:00",0.0001336,0.00016,0.0001317,0.000195,2293916,322.39,WABI,BTC,0.000195,0.00016
WABI,ETH,"2017-12-30 00:00:00",0.0457,0.05473,0.04505,0.003671,2293916,6706.42,WABI,ETH,0.003671,0.06066
WABI,USD,"2017-12-30 00:00:00",1.86,2.23,1.83,2.73,2293916,4954858.56,WABI,USD,2.73,2.35
WINGS,USD,"2017-12-30 00:00:00",1.31,1.33,1.2,1.32,1402577.38,1809324.82,WINGS,USD,1.42,1.71
XBY,BTC,"2017-12-30 00:00:00",0.00003071,0.00003311,0.00002633,0.00002776,101485.35,2.92,XBY,BTC,0.00003071,0.00015
XBY,ETH,"2017-12-30 00:00:00",0.05581,0.06017,0.04785,0.0005233,101485.35,55.84,XBY,ETH,0.0005571,2.79
XBY,USD,"2017-12-30 00:00:00",0.4272,0.4606,0.3663,0.3891,101485.35,41263.94,XBY,USD,0.3891,0.5069
XCP,USD,"2017-12-30 00:00:00",32.83,34.14,30.9,32.81,29090.23,958813.98,XCP,USD,36.1,40.37
XEM,USD,"2017-12-30 00:00:00",0.8812,1.08,0.873,0.9872,298978.41,292519.12,XEM,USD,1.03,1.09
XID,USD,"2017-12-30 00:00:00",0.2876,0.2898,0.2824,0.2902,286944.99,83156.66,XID,USD,0.298,0.4992
XIOS,BTC,"2017-12-30 00:00:00",0.000158,0.0001889,0.0001301,0.0001578,55208.42,8.71,XIOS,BTC,0.000158,0.000192
XIOS,USD,"2017-12-30 00:00:00",2.2,2.63,1.81,2.21,55208.42,137468.97,XIOS,USD,2.21,2.63
XLM,ETH,"2017-12-30 00:00:00",0.0004531,0.0005017,0.0004305,0.0004674,30606268.77,13995.32,XLM,ETH,0.0004674,0.001604
XLM,USD,"2017-12-30 00:00:00",0.3043,0.3457,0.2953,0.3461,28077416.98,9080875.43,XLM,USD,0.3461,0.37
XMCC,USD,"2017-12-30 00:00:00",2.42,2.42,2.42,2.43,0,0,XMCC,USD,2.46,3617.27
XP,BTC,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,0,0,XP,BTC,0.00000001,0.00000001
XRP,ETH,"2017-12-30 00:00:00",0.002711,0.002915,0.002281,0.002655,37435283.6,97938.49,XRP,ETH,0.002711,0.003847
XRP,USD,"2017-12-30 00:00:00",1.86,2.09,1.61,1.97,249581481.88,463206969.61,XRP,USD,1.97,2.44
XSPEC,BTC,"2017-12-30 00:00:00",0.0002025,0.0002219,0.0001947,0.0001981,1300.08,0.298,XSPEC,BTC,0.00022,0.000445
YOVI,BTC,"2017-12-30 00:00:00",0.00232,0.009437,0.00232,0.02162,69.66,1.52,YOVI,BTC,0.02162,0.0208
YOVI,USD,"2017-12-30 00:00:00",32.27,131.28,32.27,302.26,69.66,8966.64,YOVI,USD,333.65,394.09
ZCG,USD,"2017-12-30 00:00:00",0.5189,1.45,0.387,0.4824,46355.21,20048.63,ZCG,USD,0.4851,235215000
ZCL,USD,"2017-12-30 00:00:00",84.86,96.68,77.9,104.85,191524.57,18022462.04,ZCL,USD,104.85,126.54
ZECD,ETH,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,214951,0.00215,ZECD,ETH,0.00000001,0.00000001
ZEN,USD,"2017-12-30 00:00:00",58.78,67.19,49.94,55.6,99472.03,5535618.47,ZEN,USD,55.6,67.19
ZER,BTC,"2017-12-30 00:00:00",0.0002703,0.0002703,0.0002703,0.0002703,0,0,ZER,BTC,0.0002899,0.000488
ZER,USD,"2017-12-30 00:00:00",3.76,3.76,3.76,3.78,0,0,ZER,USD,4.17,7.02
ZOI,BTC,"2017-12-30 00:00:00",0.00009125,0.00009125,0.00009125,0.00009125,0,0,ZOI,BTC,0.00009464,0.00013
ZOI,ETH,"2017-12-30 00:00:00",0.05312,0.05312,0.05312,0.001718,0,0,ZOI,ETH,0.001853,0.2661
ZOI,USD,"2017-12-30 00:00:00",1.27,1.27,1.27,1.28,0,0,ZOI,USD,1.36,1.87
ZSE,USD,"2017-12-30 00:00:00",0.0569,0.0569,0.0569,0.05719,0,0,ZSE,USD,0.06002,0.09024
